 (5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j), (-9.159339953158e-16-5.773502691896e-01j)
 (-5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j), (-5.000000000000e-01+2.886751345948e-01j)
 (-9.436895709314e-16-5.773502691896e-01j), (5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j)
