 (1.000000000000e+00+0.000000000000e+00j), (1.387778780781e-16+0.000000000000e+00j), (2.775557561563e-17+1.665334536938e-16j)
 (1.516592855504e-16+4.063698308792e-17j), (-3.717111298044e-16+2.231125221501e-17j), (-5.000000000000e-01-8.660254037844e-01j)
 (2.775557561563e-17+1.665334536938e-16j), (-5.000000000000e-01-8.660254037844e-01j), (0.000000000000e+00+4.440892098501e-16j)
