 (1.110223024625e-16+6.106226635438e-16j), (3.053113317719e-16+4.440892098501e-16j), (1.000000000000e+00-1.217876368043e-15j)
 (-5.000000000000e-01+8.660254037844e-01j), (-3.365184701171e-16-1.942890293094e-16j), (-7.677262724949e-16-4.432469700889e-16j)
 (-1.110223024625e-16+2.220446049250e-16j), (1.000000000000e+00-1.137978600241e-15j), (-1.110223024625e-16+6.089381840215e-16j)
