 (5.773502691896e-01+1.110223024625e-16j), (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01-5.000000000000e-01j)
 (5.773502691896e-01-4.996003610813e-16j), (-2.886751345948e-01-5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j)
 (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j)
