 (5.000000000000e-01+2.886751345948e-01j), (-1.024429578495e-15-5.773502691896e-01j), (-5.000000000000e-01+2.886751345948e-01j)
 (5.000000000000e-01+2.886751345948e-01j), (-5.000000000000e-01+2.886751345948e-01j), (-1.332267629550e-15-5.773502691896e-01j)
 (5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j)
