 (5.773502691896e-01+0.000000000000e+00j), (5.773502691896e-01+0.000000000000e+00j), (5.773502691896e-01+0.000000000000e+00j)
 (5.773502691896e-01+0.000000000000e+00j), (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01-5.000000000000e-01j)
 (5.773502691896e-01+0.000000000000e+00j), (-2.886751345948e-01-5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j)
