 (5.773502691896e-01+2.220446049250e-16j), (5.773502691896e-01-4.163336342344e-16j), (-2.886751345948e-01+5.000000000000e-01j)
 (5.773502691896e-01-3.885780586188e-16j), (-2.886751345948e-01-5.000000000000e-01j), (-2.886751345948e-01-5.000000000000e-01j)
 (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01-5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j)
