 (5.000000000000e-01-2.886751345948e-01j), (1.173088656243e-16+5.773502691896e-01j), (6.570122511811e-16+5.773502691896e-01j)
 (8.881784197001e-16+5.773502691896e-01j), (5.519682307317e-16+5.773502691896e-01j), (5.000000000000e-01-2.886751345948e-01j)
 (-5.000000000000e-01-2.886751345948e-01j), (9.960574405817e-16+5.773502691896e-01j), (-5.000000000000e-01-2.886751345948e-01j)
