 (5.000000000000e-01+2.886751345948e-01j), (-9.992007221626e-16-5.773502691896e-01j), (-8.049116928532e-16-5.773502691896e-01j)
 (-5.000000000000e-01+2.886751345948e-01j), (-5.000000000000e-01+2.886751345948e-01j), (-5.551115123126e-16-5.773502691896e-01j)
 (5.000000000000e-01+2.886751345948e-01j), (-5.000000000000e-01+2.886751345948e-01j), (5.000000000000e-01+2.886751345948e-01j)
