 (2.329332517263e-16+3.885780586188e-16j), (8.660254037844e-01-5.000000000000e-01j), (5.551115123126e-17+2.775557561563e-16j)
 (-8.660254037844e-01-5.000000000000e-01j), (1.903035079673e-16-5.585630750422e-16j), (3.578333419966e-16-4.634828579480e-17j)
 (0.000000000000e+00+3.330669073875e-16j), (-2.498001805407e-16+3.191891195797e-16j), (1.221245327088e-15+1.000000000000e+00j)
