 (1.000000000000e+00+3.697785493223e-32j), (2.775557561563e-16-9.216261297709e-17j), (2.220446049250e-16+2.775557561563e-16j)
 (-1.174630061987e-16+3.256298233159e-16j), (-5.000000000000e-01-8.660254037844e-01j), (1.665334536938e-16+1.110223024625e-16j)
 (1.452185818143e-16+1.590963696221e-16j), (1.110223024625e-16-3.330669073875e-16j), (-5.000000000000e-01-8.660254037844e-01j)
