 (5.773502691896e-01-1.387778780781e-16j), (-2.886751345948e-01+5.000000000000e-01j), (5.773502691896e-01+5.551115123126e-17j)
 (-2.886751345948e-01+5.000000000000e-01j), (5.773502691896e-01-9.992007221626e-16j), (5.773502691896e-01-1.471045507628e-15j)
 (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01+5.000000000000e-01j), (-2.886751345948e-01-5.000000000000e-01j)
