 (2.775557561563e-17+6.106226635438e-16j), (3.608224830032e-16+6.106226635438e-16j), (1.000000000000e+00-1.217876368043e-15j)
 (1.110223024625e-16+5.273559366969e-16j), (1.000000000000e+00-1.804112415016e-15j), (-2.220446049250e-16+7.477160620996e-16j)
 (1.000000000000e+00-1.498801083244e-15j), (0.000000000000e+00+8.326672684689e-16j), (2.775557561563e-17+1.025271818256e-15j)
